generation,average,min,max
53,38071.14505000001,1759.3875000000003,132232.25749999998
54,41244.420275,1181.9475000000002,139580.25
55,38529.83499999999,1567.9100000000003,112713.93249999997
56,39379.5636,1181.9475000000002,125766.7875
57,39224.188325,1181.9475000000002,146427.0475
58,54668.404325,4334.8099999999995,166164.10999999996
59,38015.39705,1181.9475000000002,126270.79750000002
60,43258.31375,1567.9100000000003,152168.7675
61,46774.962250000004,1181.9475000000002,153283.6425
62,41460.7361,2139.335,157169.76
63,45021.27207499999,1375.4300000000003,166293.3975
64,43464.801275,1759.3875000000003,148402.5625
65,40679.44024999999,1759.3875000000003,150146.77250000002
66,39745.87245,1567.9100000000003,160817.4375
67,37772.411850000004,1949.8625000000002,142153.83500000002
68,39084.611325,1181.9475000000002,146533.59999999998
69,40671.5492,1759.3875000000003,139084.33
70,38466.464225,1181.9475000000002,154263.88999999993
71,42487.886625,1375.4300000000003,143964.75
72,40523.56769999999,1375.4300000000003,157981.8675
73,43844.09957499999,1181.9475000000002,161922.6475
74,38850.109225,1181.9475000000002,153419.5675
75,45716.912350000006,1375.4300000000003,157973.65
76,37818.99545,3071.6600000000003,151891.75
77,44922.634025,1181.9475000000002,143530.31249999997
78,46642.27632499999,1181.9475000000002,149069.82999999996
79,42044.729524999995,1375.4300000000003,144447.7375
80,45072.725,1375.4300000000003,154222.37249999997
81,45008.107599999996,1949.8625000000002,153922.5625
82,42433.54375,3978.9224999999997,158342.19
83,43847.693750000006,1181.9475000000002,152250.8825
84,39730.083974999994,1375.4300000000003,149823.01
85,38266.810724999996,2327.805,154347.01
86,40666.721325,1181.9475000000002,125470.75
87,44414.493525,1181.9475000000002,137643.01500000004
88,40113.49565,4157.367499999999,133419.75
89,44626.879324999994,1949.8625000000002,157457.22749999995
90,42364.352849999996,1181.9475000000002,151147.635
91,38940.372175000004,1181.9475000000002,157572.07499999998
92,50731.562375,1181.9475000000002,146725.95500000002
93,48947.345924999994,1181.9475000000002,154817.62250000003
94,48699.818875000004,1759.3875000000003,156863.5
95,51149.443374999995,1181.9475000000002,161379.5
96,47892.322125000006,5378.412499999999,160700.0475
97,38791.263775,1181.9475000000002,141769.7025
98,40524.0029,1375.4300000000003,166553.46
99,52884.3793,3619.025,166496.75
100,41812.10255,2139.335,161656.75
101,38945.9473,1181.9475000000002,156867.94749999998
102,41858.957625,2327.805,158669.7425
103,41798.981074999996,1759.3875000000003,158934.86000000002
104,37488.22810000001,2327.805,149226.28750000003
105,39268.295875,1567.9100000000003,139311.6175
106,48173.96535,1181.9475000000002,154951.11999999994
107,43173.47097499999,1949.8625000000002,165490.925
108,45509.072725,1181.9475000000002,152807.5275
109,46078.28772499999,3978.9224999999997,159929.84000000003
110,48386.39322500001,1567.9100000000003,163268.62749999997
111,46261.119974999994,1181.9475000000002,155782.75
112,38753.9494,1375.4300000000003,149737.75
113,41697.679975,1181.9475000000002,147716.83
114,36382.646375000004,1181.9475000000002,125343.9925
115,37869.544975000004,2139.335,136383.3275
116,36786.37065,1181.9475000000002,122462.65
117,31629.213674999995,1375.4300000000003,91805.79500000001
118,39820.190725,1375.4300000000003,150713.5425
119,40303.263674999995,1181.9475000000002,167827.77249999993
120,40416.615025,1181.9475000000002,144553.22249999997
121,38492.10575,1375.4300000000003,144324.8675
122,41083.3392,1375.4300000000003,138523.31
123,38790.96015,1759.3875000000003,129925.75
124,37531.717699999994,2327.805,160889.975
125,37452.048149999995,2327.805,156025.2225
126,38850.404749999994,987.4625000000001,159182.17000000004
127,37640.760500000004,1567.9100000000003,165854.5075
128,43332.254525,1949.8625000000002,160171.56749999998
129,33849.632025,1375.4300000000003,161357.5775
130,44661.90464999999,1375.4300000000003,157779.45750000002
131,48835.649574999996,2887.2000000000003,160496.8675
132,51185.6007,1181.9475000000002,162996.75
133,45206.94472500001,1181.9475000000002,157198.68500000003
134,45884.14997500001,3978.9224999999997,156080.2475
135,46712.31122499998,1181.9475000000002,146781.75
